"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"106","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"107","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"108","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"109","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"110","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"111","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"112","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"113","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"114","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"115","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"116","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"117","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"118","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"119","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"120","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"121","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"122","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"123","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
